Season,Team,W,L,Win Rate,OBP,SLG,ERA
2020,CHW,35,25,0.583333333,0.325673884,0.45334636,0.4123042638303991
2019,CHW,72,89,0.447204969,0.314238134,0.413998914,0.7284541395255382
2018,CHW,62,100,0.382716049,0.301521667,0.401412275,0.7117382011132982
2017,CHW,67,95,0.413580247,0.31363108,0.417195719,0.6921462429895571
2016,CHW,78,84,0.481481481,0.317273025,0.409909909,0.5016471697528464
2015,CHW,76,86,0.469135802,0.306342109,0.380083137,0.462829432085069
2014,CHW,73,89,0.450617284,0.30983823,0.398340248,0.5531012615441253
2013,CHW,63,99,0.388888889,0.302179656,0.378213194,0.4663354202814587
2012,CHW,85,77,0.524691358,0.318256578,0.421891989,0.473768421373284
2011,CHW,79,83,0.487654321,0.318650728,0.387677208,0.4961387128802836
2010,CHW,88,74,0.543209877,0.331740276,0.419948942,0.4947490391675164
2025,CIN,9,9,0.5,0.307692307,0.366568914,0.1775902690904129
2024,CIN,77,85,0.475308642,0.304654679,0.388169014,0.4935516679678551
2023,CIN,82,80,0.50617284,0.326910621,0.419530823,0.7076722544620535
2022,CIN,62,100,0.382716049,0.303508477,0.372304832,0.7160398385776034
2021,CIN,83,79,0.512345679,0.328109696,0.431311082,0.5859742302258184
2020,CIN,31,29,0.516666667,0.312116925,0.402823018,0.4366530550686958
2019,CIN,75,87,0.462962963,0.314808707,0.421651376,0.5196185417397006
2018,CIN,67,95,0.413580247,0.327572282,0.401482284,0.6556745771347323
2017,CIN,68,94,0.419753086,0.328898263,0.432530999,0.8038036586325494
2016,CIN,68,94,0.419753086,0.315990057,0.407873154,0.7302727224213124
2015,CIN,64,98,0.395061728,0.312245893,0.393825166,0.5675742706626632
2014,CIN,76,86,0.469135802,0.29649093,0.364967562,0.3479696293611929
2013,CIN,90,72,0.555555556,0.327263938,0.390798326,0.2898649078884318
2012,CIN,97,65,0.598765432,0.315292949,0.410626255,0.2787451665283007
2011,CIN,79,83,0.487654321,0.32576,0.40787598,0.5129377667569259
2010,CIN,91,71,0.561728395,0.338478855,0.435920415,0.4732742111018093
2025,CLE,9,8,0.529411765,0.3119891,0.395348837,0.444003178637445
2024,CLE,92,69,0.571428571,0.307483914,0.395291902,0.3537263116503826
2023,CLE,76,86,0.469135802,0.313167844,0.381461998,0.458943651478825
2022,CLE,92,70,0.567901235,0.3160723,0.382511694,0.3159413127518005
2021,CLE,80,82,0.49382716,0.303483432,0.406976744,0.5655433731235997
2020,CLE,35,25,0.583333333,0.316800714,0.372128637,0.2632558378390012
2019,CLE,93,69,0.574074074,0.323307034,0.432258064,0.4080682085502065
2018,CLE,91,71,0.561728395,0.331739199,0.434316353,0.4022143971783971
2017,CLE,102,60,0.62962963,0.338647342,0.449283251,0.267196034928879
2016,CLE,94,67,0.583850932,0.329033311,0.42961342,0.425850100820627
2015,CLE,81,80,0.50310559,0.324533905,0.400625114,0.3756828661556477
2014,CLE,85,77,0.524691358,0.317179902,0.388699551,0.3446208652140337
2013,CLE,92,70,0.567901235,0.326703619,0.409881061,0.4142830997438209
2012,CLE,68,94,0.419753086,0.323567497,0.381357466,0.6943070873973807
2011,CLE,80,82,0.49382716,0.317296678,0.396442185,0.5372418909460464
2010,CLE,69,93,0.425925926,0.321585903,0.378348824,0.5527747718240075
2025,COL,3,15,0.166666667,0.289586305,0.351735015,0.8403912764461654
